Sample,OtolithID,Na,Mg,P,Ba,Sr,Mn,Zn,Ni,Cu,Rb,Cr,Li,Al,Sc,Ti,Y,Pb,Radius_to_pit,Longitude,Latitude,HaulID
Age-1_Oct_equiv,D1801,3251.689468,24.72279972,211.4089951,3.292830584,2143.769958,3.380598232,0.195971183,0.135685734,0.253203616,0.060494604,0.892495556,1.256929313,0.592979116,1.005387078,0,0.002902439,0.005830205,834.85,-5.69,53.626,136
Age-1_Oct_equiv,D2271,3118.876839,22.26996297,229.4359771,3.463471725,2290.607905,1.769169736,0.087873322,0.146555628,0.130342952,0.045720244,0.938517424,1.330231908,0.027105775,1,0,0.000612211,0,854.62,-5.69,53.626,136
Age-1_Oct_equiv,D564,3223.387416,24.53077038,222.5355685,4.8816106,1779.721061,1.63123852,0.246255714,0.103344663,0.098512913,0.047474711,0.942627188,1.269241244,0.251160203,1.022758183,0,0.001383548,0,840.42,-8.683,57.309,118
Age-1_Oct_equiv,D819,3078.52654,26.13080483,205.6083205,3.219460702,3218.541454,0.901518197,0.220138611,0.109707694,0.214923308,0.087493925,0.886316055,1.270641176,0,1,0.019532183,0.000937503,0.004474374,988.76,-6.704,57.129,123
Age-1_Oct_equiv,D698,3622.737686,27.52803133,369.8820172,1.891284989,1080.271676,3.886577756,0.294724071,0.185976252,1.844260872,0.101375059,1.121036738,1.276004957,1.311452202,1.025375833,0,0.001961675,0.000920064,896.68,-7.352,58.262,124
Age-1_Oct_equiv,D281,3474.954826,24.80647596,258.1117193,3.620502607,1058.930004,2.480898851,0.172401613,0.113654246,0.374406092,0.053817194,0.854221476,4.189498379,0.209192538,1.009236731,0.045713071,0,0.001150258,774.77,-5.223,55.414,121
Age-1_Oct_equiv,D784,3209.592091,18.89443345,164.7483092,4.011129272,1408.476938,1.254996855,0.11098567,0.114952846,0.858577725,0.076504237,0.858012461,1.466776625,0.113558189,1.01903816,0,0.001635747,0.003815582,806.17,-6.704,57.129,123
Age-1_Oct_equiv,D961,3744.094683,26.73147708,492.5279091,3.515303257,568.4404058,8.128147773,0.169697699,0.117519256,0.158358984,0.085377431,0.841704027,1.35363789,0,1.015598374,0,0,0,517.65,-3.763,53.482,126
Age-1_Oct_equiv,D812,3548.842372,26.19907504,265.9684766,1.305101748,987.496107,1.39714033,0.192936023,0.112205656,0.331160442,0.067777791,0.880883775,1.295247217,0,1.008545498,0.057364737,0.002690663,0.001494068,846.08,-6.704,57.129,123
Age-1_Oct_equiv,D2292,3503.276478,49.69685466,292.756896,7.813770586,1558.716325,6.50941469,0.158185537,0.120880011,0.288995315,0.033624707,0.849489097,1.424718818,0.168479995,1.013446703,0,0.004522055,0.001383636,971.53,-5.69,53.626,136
Age-1_Oct_equiv,D1719,2570.827863,21.98580167,241.8422826,2.278282345,2364.14489,1.607599255,0.079751866,0.148433325,0.479367997,0.048241969,0.852833586,1.327069786,0.010167328,1.018197853,0,0.000806023,0.000658858,667.72,-3.711,54.273,135
Age-1_Oct_equiv,D2219,3615.571797,26.89087739,277.2398371,3.883958998,1577.546361,8.687639515,0.206568481,0.115477624,1.564991138,0.07795298,0.925412631,1.637284095,0.399556125,1.011562943,0,0.000666303,0.004480755,599.98,-3.711,54.273,135
Age-1_Oct_equiv,D1111,2660.142942,9.615740166,252.9014204,1.353186326,2625.205635,0.284639927,0.102874656,0.129212196,0.290808423,0.036848802,0.857761619,1.228999444,0.01409339,1.02060464,0,0.00318726,0.004902303,1205.13,-5.419,58.673,127
Age-1_Oct_equiv,D956,3558.274775,35.25754283,270.4920688,4.176823354,1485.679986,6.532428271,0.376555581,0.304585374,4.596879575,0.116738967,0.824606194,1.406816598,0.818500746,1.006373581,0.071276115,0.002878001,0.00924801,624.89,-3.763,53.482,126
